word phonetic definition
unending [.ʌn'endiŋ] "s continuing forever or indefinitely"
unequal [.ʌn'i:kwәl] "a. poorly balanced or matched in quantity or value or measure"
unequivocal [.ʌni'kwivәkl] "a. admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion"
unequivocally [ˌʌnɪˈkwɪvəkəlɪ] "r in an unambiguous manner"
uneven [.ʌn'i:vәn] "a. not even or uniform as e.g. in shape or texture\ns. variable and recurring at irregular intervals"
unexpected [.ʌnik'spektid] "a. not expected or anticipated"
unexplored ['ʌniks'plɔ:d] "s not yet discovered"
unfair [.ʌn'fєә] "a. not fair; marked by injustice or partiality or deception"
unfaithful [.ʌn'feiθful] "a. not true to duty or obligation or promises\na. having sexual relations with someone other than your husband or wife, or your boyfriend or girlfriend\ns. not trustworthy"
unfamiliar [.ʌnfә'miljә] "a. not known or well known"
unfathomable [.ʌn'fæðәmәbl] "a. of depth; not capable of being sounded or measured\ns. impossible to come to understand"
unfavorable [.ʌn'feivәrәbl] "a. not encouraging or approving or pleasing\na. (of winds or weather) tending to hinder or oppose\ns. not favorable"
unfettered ['ʌn'fetәd] "s not bound by shackles and chains"
unfinished [.ʌn'finiʃt] "a. not brought to the desired final state\na. not brought to an end or conclusion"
unfit [.ʌn'fit] "a. below the required standards for a purpose\na. not in good physical or mental condition; out of condition"
unfold [.ʌn'fәuld] "v. open to the view\nv. extend or stretch out to a greater or the full length\nv. spread out or open from a closed or folded state"
unforeseen [.ʌnfɒ:'si:n] "s not anticipated"
unforgettable [.ʌnfә'getәbl] "a. impossible to forget"
unforgiving [.ʌnfә'giviŋ] "a. unwilling or unable to forgive or show mercy"
unfortunate [.ʌn'fɒ:tʃәnit] "n. a person who suffers misfortune\na. not favored by fortune; marked or accompanied by or resulting in ill fortune\ns. unsuitable or regrettable"
unfortunately [ʌn'fɔ:tjjnәtli] "r. by bad luck"
unfounded ['ʌn'faundid] "s without a basis in reason or fact"
unfriendly [.ʌn'frendli] "a. not easy to understand or use\na. not disposed to friendship or friendliness\ns. not friendly"
unfurl [.ʌn'fә:l] "v. unroll, unfold, or spread out or be unrolled, unfolded, or spread out from a furled state"
unhappily [.ʌn'hæpili] "r. in an unpleasant way"
unhappy [.ʌn'hæpi] "a. experiencing or marked by or causing sadness or sorrow or discontent\ns. causing discomfort"
unharmed ['ʌn'hɑ:md] "s. not injured"
unhealthy [.ʌn'helθi] "a. not in or exhibiting good health in body or mind\ns. not conducive to good health"
unheard [.ʌn'hә:d] "s. not necessarily inaudible but not heard"
unholy [.ʌn'hәuli] "a. not hallowed or consecrated"
unhook [.ʌn'huk] "v. take off a hook"
unicorn ['ju:nikɔ:n] "n. an imaginary creature represented as a white horse with a long horn growing from its forehead"
unidentified [.ʌnai'dentifaid] "s. not yet identified"
unification [.ju:nifi'keiʃәn] "n an occurrence that involves the production of a union\nn the state of being joined or united or linked\nn the act of making or becoming a single unit"
unified ['ju:nifaid] "v become one\nv to bring or combine together or with something else\nv bring together for a common purpose or action or ideology or in a shared situation\nv act in concert or unite in a common purpose or belief\nv join or combine\ns formed or united into a whole\ns operating as a unit"
uniform ['ju:nifɒ:m] "n. clothing of distinctive design worn by members of a particular group as a means of identification\nv. provide with uniforms\na. always the same; showing a single form or character in all occurrences\ns. evenly spaced"
uniformed ['ju:nifɔ:md] "s. dressed in a uniform"
uniformity [.ju:ni'fɒ:mәti] "n. a condition in which everything is regular and unvarying\nn. the quality of lacking diversity or variation (even to the point of boredom)"
uniformly ['ju:nifɔ:mli] "r. in a uniform manner"
unify ['ju:nifai] "v. become one"
unilateral [.ju:ni'lætәrәl] "a. involving only one part or side\ns. tracing descent from either the paternal or the maternal line only"
unimaginable [.ʌni'mædʒinәbl] "s totally unlikely"
unimportant [.ʌnim'pɒ:tnt] "a. not important"
unimpressed ['ʌnim'prest] "s. not moved to serious regard"
uninformed ['ʌnin'fɔ:md] "a. not informed; lacking in knowledge or information"
uninsured ['ʌnin'ʃuәd] "a. not covered by insurance"
unintended ['ʌnin'tendid] "a. not deliberate"
unintentional [.ʌnin'tenʃәnl] "s. without deliberate intent\ns. not done with purpose or intent"
unintentionally [ˌʌnɪn'tenʃənəlɪ] "r. without intention; in an unintentional manner"
uninterested [.ʌn'intәristid] "a. not having or showing interest\ns. having no care or interest in knowing"
uninterrupted ['ʌn.intә'rʌptid] "s. having undisturbed continuity"
uninvited ['ʌnin'vaitid] "s. unwelcome and unwanted"
union ['ju:njәn] "n. an organization of employees formed to bargain with the employer\nn. the United States (especially the northern states during the American Civil War)\nn. the state of being joined or united or linked\nn. healing process involving the growing together of the edges of a wound or the growing together of broken bones"
unionized [ʌn'aiәnaizd] "v recruit for a union or organize into a union\nv form or join a union\na not converted into ions\ns being a member of or formed into a labor union"
unique [ju:'ni:k] "s. (followed by `to') applying exclusively to a given category or condition or locality\ns. highly unusual or rare but not the single instance"
uniqueness [ju:'ni:knis] "n the quality of being one of a kind"
unison ['ju:nisn] "n. corresponding exactly\nn. occurring together or simultaneously\nn. (music) two or more sounds or tones at the same pitch or in octaves"
unit ['ju:nit] "n. an individual or group or structure or other entity regarded as a structural or functional constituent of a whole\nn. an organization regarded as part of a larger social group\nn. a single undivided whole\nn. a single undivided natural thing occurring in the composition of something else"
unitary ['ju:nitәri] "a. relating to or characterized by or aiming toward unity\na. of or pertaining to or involving the use of units\na. characterized by or constituting a form of government in which power is held by one central authority"
unite [ju:'nait] "v. act in concert or unite in a common purpose or belief\nv. have or possess in combination\nv. bring together for a common purpose or action or ideology or in a shared situation\nv. join or combine"
unity ['ju:niti] "n an undivided or unbroken completeness or totality with nothing wanting\nn the smallest whole number or a numeral representing this number\nn the quality of being united into one"
universal [.ju:ni'vә:sl] "n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages\nn. (logic) a proposition that asserts something of all members of a class\nn. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings\ns. applicable to or common to all members of a group or set"
universality [.ju:ni'sæliti] "n. the quality of being universal; existing everywhere"
universally [ju:ni'v\\\\:sәli] "r. everywhere"
universe ['ju:nivә:s] "n. everything that exists anywhere\nn. everything stated or assumed in a given discussion"
university [.ju:ni'vә:siti] "n. the body of faculty and students at a university\nn. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching\nn. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
unjust [.ʌn'dʒʌst] "a. violating principles of justice"
unkempt ['ʌnkempt] "s. not neatly combed\ns. not properly maintained or cared for"
unkind [.ʌn'kaind] "a. lacking kindness"
unknowingly [ʌn'nәjiŋli] "r without knowledge or intention"
unknown [.ʌn'nәun] "n. an unknown and unexplored region\nn. a variable whose values are solutions of an equation\na. not known\ns. not known to exist"
unlawful [.ʌn'lɒ:ful] "a. contrary to or prohibited by or defiant of law\ns. not morally right or permissible\ns. having no legally established claim"
unleash [.ʌn'li:ʃ] "v. release or vent\nv. release from a leash\nv. turn loose or free from restraint"
unless [.ʌn'les] "conj. Upon any less condition than (the fact or thing stated\n   in the sentence or clause which follows); if not; supposing that not;\n   if it be not; were it not that; except; as, we shall fail unless we are\n   industrious."
unlicensed [.ʌn'laisnst] "s lacking official approval"
unlike [.ʌn'laik] "a. marked by dissimilarity\na. not equal in amount"
unlikely [.ʌn'laikli] "a. has little chance of being the case or coming about"
unlimited [.ʌn'limitid] "a. having no limits in range or scope"
unload [.ʌn'lәud] "v. take the load off (a container or vehicle)"
unlock [.ʌn'lɒk] "v. open the lock of\nv. set free or release\nv. become unlocked"
unlucky [.ʌn'lʌki] "a. having or bringing misfortune"
unmanned [.ʌn'mænd] "a. lacking a crew"
unmarked [.ʌn'mɑ:kt] "a. not having an identifying mark"
unmarried [.ʌn'mærid] "a. not married or related to the unmarried state"
unmask [.ʌn'mɑ:sk] "v. reveal the true nature of\nv. take the mask off"
unmatched [.ʌn'mætʃt] "s of the remaining member of a pair, of socks e.g.\ns eminent beyond or above comparison"
unmistakable ['ʌnmis'teikәbl] "s. clearly evident to the mind"
unmistakably [ˌʌnmɪ'steɪkəblɪ] "r. without possibility of mistake"
unnamed ['ʌn'neimd] "s being or having an unknown or unnamed source"
unnatural [.ʌn'næʃәrәl] "a. not in accordance with or determined by nature; contrary to nature"
unnecessarily [ʌn'nesisәrili] "r. in an unnecessary manner\nr. without any necessity"
unnecessary [.ʌn'nesәsәri] "a. not necessary"
unnerve [.ʌn'nә:v] "v disturb the composure of"
unnoticed ['ʌn'nәutist] "a. not noticed"
unoccupied [.ʌn'ɒkjupaid] "a. not held or filled or in use\na. not seized and controlled\ns. not leased to or occupied by a tenant"
unofficial [.ʌnә'fiʃәl] "a. not having official authority or sanction\ns. not officially established"
unopened [.ʌn'әupәnd] "s. not yet opened or unsealed"
unorthodox [.ʌn'ɒ:θәdɒks] "a. breaking with convention or tradition"
unpack [.ʌn'pæk] "v. remove from its packing"
unpaid [.ʌn'peid] "a. not paid\ns. without payment"
unparalleled [.ʌn'pærәleld] "s radically distinctive and without equal"
unplanned ['ʌn'plænd] "a. without apparent forethought or prompting or planning"
unpleasant [.ʌn'pleznt] "a. disagreeable to the senses, to the mind, or feelings"
unplugged [ˌʌn'plʌɡd] "v pull the plug of (electrical appliances) and render inoperable"
